Sample ID,Max Probability
1,0.16074824
2,0.06683371
3,0.07005957
4,0.2835847
5,0.3593209
6,0.2586735
7,0.53390837
8,0.1555653
9,0.07824899
10,0.4149405
11,0.4724647
12,0.2517595
13,0.26609677
14,0.11864102
15,0.1439278
16,0.43812627
17,0.4677342
18,0.08544887
19,0.27241805
20,0.3749033
21,0.3160085
22,0.08180362
23,0.29794702
24,0.19348799
25,0.291229
26,0.2788644
27,0.059661187
28,0.3912747
29,0.09113275
30,0.072830975
31,0.34762272
32,0.39448363
33,0.077118956
34,0.0708366
35,0.441981
36,0.49638227
37,0.42393154
38,0.2431683
39,0.059640955
40,0.18471316
41,0.15670408
42,0.5164411
43,0.49176973
44,0.04380498
45,0.28067556
46,0.1741043
47,0.22832258
48,0.075977765
49,0.1176977
50,0.1411084
51,0.068261966
52,0.39594266
53,0.110667095
54,0.060431663
55,0.3590235
56,0.12317926
57,0.17336896
58,0.13570772
59,0.39743826
60,0.09651029
61,0.23515107
62,0.15311846
63,0.053951584
64,0.3536446
65,0.12886526
66,0.36487657
67,0.09108901
68,0.0628066
69,0.06994115
70,0.31386635
71,0.095834695
72,0.11365625
73,0.119963884
74,0.22109717
75,0.2063201
76,0.10452643
77,0.10301172
78,0.1680559
79,0.18499841
80,0.73448914
81,0.34377313
82,0.7634122
83,0.68807364
84,0.27321887
85,0.611786
86,0.8755876
87,0.83992743
88,0.0955274
89,0.25847703
90,0.048199866
91,0.78278637
92,0.7318433
93,0.1829025
94,0.41802192
95,0.3144421
96,0.17317663
97,0.32948518
98,0.13582666
99,0.5880574
100,0.15753728
101,0.054353725
102,0.07025765
103,0.059295677
104,0.06274257
105,0.2291033
106,0.07398447
107,0.15559171
108,0.084464006
109,0.058600694
110,0.059306007
111,0.17234865
112,0.05711578
113,0.04759242
114,0.061419006
115,0.06870649
116,0.06063944
117,0.064717725
118,0.072382726
119,0.18200763
120,0.080420494
121,0.1466846
122,0.057808537
123,0.09147432
124,0.58095163
125,0.22289218
126,0.2879871
127,0.09432662
128,0.28822735
129,0.45589402
130,0.45017403
131,0.057651743
132,0.33947414
133,0.19742587
134,0.17082265
135,0.27981544
136,0.3551901
137,0.0962739
138,0.39300692
139,0.6052541
140,0.20840861
141,0.49860653
142,0.45072553
143,0.4181833
144,0.6324168
145,0.59990585
146,0.08538954
147,0.3688841
148,0.70803654
149,0.17193313
150,0.46464923
151,0.53569347
152,0.4580118
153,0.39959264
154,0.46356216
155,0.085905015
156,0.1864319
157,0.07923028
158,0.1251734
159,0.20495602
160,0.19293642
161,0.24198675
162,0.28095764
163,0.06828127
164,0.05231508
165,0.19433361
166,0.21644947
167,0.27658665
168,0.07438104
169,0.26773685
170,0.26368588
171,0.061001927
172,0.15152198
173,0.07119467
174,0.17308271
175,0.1570894
176,0.16640049
177,0.2493708
178,0.21097152
179,0.10095263
180,0.12425416
181,0.15222412
182,0.0888897
183,0.14379269
184,0.16055714
185,0.4393935
186,0.2207022
187,0.06712241
188,0.48968303
189,0.28044987
190,0.24805771
191,0.060823627
192,0.20285591
193,0.40466514
194,0.055306055
195,0.28847545
196,0.1185085
197,0.07645405
198,0.42449528
199,0.08452904
200,0.08328369
201,0.062275488
202,0.095205516
203,0.11377053
204,0.093826324
205,0.1834888
206,0.041098244
207,0.10188903
208,0.18766361
209,0.09248269
210,0.19008294
211,0.09764734
212,0.12629522
213,0.16163842
214,0.25686538
215,0.12751165
216,0.074848875
217,0.2143878
218,0.44623807
219,0.2900884
220,0.2298338
221,0.28599912
222,0.2384651
223,0.3114116
224,0.34756306
225,0.10244325
226,0.25153768
227,0.1615352
228,0.07202891
229,0.1384793
230,0.15852232
231,0.0917661
232,0.0741719
233,0.17168652
234,0.07884431
235,0.10871232
236,0.09625609
237,0.14977032
238,0.50659376
239,0.14602949
240,0.3109721
241,0.34957302
242,0.05329993
243,0.14502835
244,0.133008
245,0.24761511
246,0.049571738
247,0.54345787
248,0.43137926
249,0.079500586
250,0.1449916
251,0.25797546
252,0.51483923
253,0.09763752
254,0.2066136
255,0.22211485
256,0.16275431
257,0.2924027
258,0.12972564
259,0.17136073
260,0.16422209
261,0.29401475
262,0.048345696
263,0.32627678
264,0.18560782
265,0.20210564
266,0.17582019
267,0.07181539
268,0.1324915
269,0.060995106
270,0.21619965
271,0.05361599
272,0.16434999
273,0.15703875
274,0.04563716
275,0.070904724
276,0.048432924
277,0.09444286
278,0.17561486
279,0.0772948
280,0.21044743
281,0.0507655
282,0.19368306
283,0.15200944
284,0.106963836
285,0.07991838
286,0.072929315
287,0.275071
288,0.29476073
289,0.18228364
290,0.22599758
291,0.14860785
292,0.05506664
293,0.40154624
294,0.21145567
295,0.16645776
296,0.36534607
