Sample ID,Max Probability
1,0.2364686
2,0.47172588
3,0.39741218
4,0.60936385
5,0.097590715
6,0.06573708
7,0.27798635
8,0.48892567
9,0.19187407
10,0.1985719
11,0.45901042
12,0.26384485
13,0.048897196
14,0.5789793
15,0.3151377
16,0.17464525
17,0.07884113
18,0.09183276
19,0.3905845
20,0.21681392
21,0.24573472
22,0.30217636
23,0.23666495
24,0.4606201
25,0.094718486
26,0.51254094
27,0.36758956
28,0.17418143
29,0.15439424
30,0.0897247
31,0.05755358
32,0.36140516
33,0.2364607
34,0.5343617
35,0.08514809
36,0.0676598
37,0.57322675
38,0.14181381
39,0.54550856
40,0.051647495
41,0.07785346
42,0.25311974
43,0.2975448
44,0.19024071
45,0.21864355
46,0.37684083
47,0.20210658
48,0.10117427
49,0.42917174
50,0.17331882
51,0.065055415
52,0.24332745
53,0.19033061
54,0.08185662
55,0.10091679
56,0.27059707
57,0.056703426
58,0.2631889
59,0.24005292
60,0.111735195
61,0.13988549
62,0.139839
63,0.45751286
64,0.04447226
65,0.13675763
66,0.19823375
67,0.07323683
68,0.09069688
69,0.22198361
70,0.07634273
71,0.07367637
72,0.059814375
73,0.12814535
74,0.41182774
75,0.14740433
76,0.07195832
77,0.09883272
78,0.15566099
79,0.07745951
80,0.48794824
81,0.7419203
82,0.76448256
83,0.052607678
84,0.10638086
85,0.07850181
86,0.59960955
87,0.6190692
88,0.8169871
89,0.8585778
90,0.55143183
91,0.16369215
92,0.09703133
93,0.14706121
94,0.37994733
95,0.055744067
96,0.30389184
97,0.13839957
98,0.49338642
99,0.08839262
100,0.18217064
101,0.15535605
102,0.22842155
103,0.11888298
104,0.059935007
105,0.26358768
106,0.3165391
107,0.07131603
108,0.2422032
109,0.26314506
110,0.29023904
111,0.14253771
112,0.102145635
113,0.07281607
114,0.05226761
115,0.062713005
116,0.19614132
117,0.1554831
118,0.111383654
119,0.06254535
120,0.063076064
121,0.3125543
122,0.20677175
123,0.056277167
124,0.08125438
125,0.0600339
126,0.1876122
127,0.21332727
128,0.21359211
129,0.14544933
130,0.104359105
131,0.052794762
132,0.10930983
133,0.14674506
134,0.24317405
135,0.37640005
136,0.33401552
137,0.22010162
138,0.10384796
139,0.3949238
140,0.45950383
141,0.12114265
142,0.3748937
143,0.2225954
144,0.31655177
145,0.09220265
146,0.1425582
147,0.4396771
148,0.14810672
149,0.27280563
150,0.39577457
151,0.14176404
152,0.33447087
153,0.30548984
154,0.20691514
155,0.35229686
156,0.56147796
157,0.548231
158,0.25238582
159,0.5863011
160,0.06105095
161,0.18680575
162,0.20500232
163,0.15215038
164,0.24572845
165,0.06852306
166,0.1664799
167,0.31544754
168,0.1941938
169,0.35138828
170,0.089048795
171,0.45665416
172,0.47102195
173,0.04972471
174,0.30333427
175,0.35084754
176,0.11141746
177,0.30567747
178,0.16902192
179,0.43787137
180,0.04772959
181,0.41579685
182,0.45575905
183,0.3850435
184,0.483945
185,0.28687596
186,0.22324441
187,0.24592774
188,0.08855229
189,0.17650743
190,0.39007446
191,0.07722675
192,0.2915563
193,0.06451998
194,0.20691532
195,0.4091061
196,0.17757577
197,0.45595697
198,0.28061193
199,0.3918429
200,0.37412253
201,0.4443652
202,0.21352126
203,0.2601697
204,0.15283145
205,0.3542926
206,0.091979966
207,0.14372492
208,0.10447609
209,0.107480094
210,0.13434461
211,0.20234346
212,0.4836908
213,0.107481286
214,0.52139705
215,0.1468973
216,0.13464546
217,0.42013395
218,0.24840826
219,0.07470126
220,0.2713878
221,0.052107096
222,0.4640991
223,0.07346052
224,0.38549888
225,0.336228
226,0.20787433
227,0.3025182
228,0.15142167
229,0.3081119
230,0.0817135
231,0.11066638
232,0.11335585
233,0.10720301
234,0.1507843
235,0.06977938
236,0.19544257
237,0.101946406
238,0.14193402
239,0.11001647
240,0.17138298
241,0.12531981
242,0.1301552
243,0.2856436
244,0.22085509
245,0.28952885
246,0.10606153
247,0.06274262
248,0.22806285
249,0.21970476
250,0.5184926
251,0.12268936
252,0.114725485
253,0.09130673
254,0.06831525
255,0.5065975
256,0.19743471
257,0.14622438
258,0.25669548
259,0.24042004
260,0.3894199
261,0.3005592
262,0.19625399
263,0.536779
264,0.21722572
265,0.52935296
266,0.20665705
267,0.13103943
268,0.06654082
269,0.34308195
270,0.1467111
271,0.13738723
272,0.05850503
273,0.17632262
274,0.09704193
275,0.0775004
276,0.30929455
277,0.17050211
278,0.08774512
279,0.21218957
280,0.08716433
281,0.13201405
282,0.06675277
283,0.12816428
284,0.07774919
285,0.13951828
286,0.101055525
287,0.10053401
288,0.14784364
289,0.066985175
290,0.11758425
291,0.20447478
292,0.1286832
293,0.240297
294,0.3605915
295,0.12559503
296,0.07242168
297,0.24282615
298,0.10202519
299,0.35467163
