Sample ID,Max Probability
1,0.1143951
2,0.5746153
3,0.38919854
4,0.30630806
5,0.06727664
6,0.10684246
7,0.5364329
8,0.6018432
9,0.2713588
10,0.30903265
11,0.44513547
12,0.26152393
13,0.12791096
14,0.20168819
15,0.3439718
16,0.42486742
17,0.19888294
18,0.31727666
19,0.2978028
20,0.3563081
21,0.26556927
22,0.25712678
23,0.3946918
24,0.079292916
25,0.38085407
26,0.29749334
27,0.26960188
28,0.35248235
29,0.19068734
30,0.103192635
31,0.45984346
32,0.37488538
33,0.12240189
34,0.36363313
35,0.13708737
36,0.3710695
37,0.12037403
38,0.37595803
39,0.0705379
40,0.3181037
41,0.123548396
42,0.18832868
43,0.16839424
44,0.43644303
45,0.11377299
46,0.35079393
47,0.24835344
48,0.24674536
49,0.20420046
50,0.16872486
51,0.13064645
52,0.10323413
53,0.28015885
54,0.20615259
55,0.10194163
56,0.47412285
57,0.056490798
58,0.15249044
59,0.06389114
60,0.30457628
61,0.55776334
62,0.16891138
63,0.35025367
64,0.31325957
65,0.45067206
66,0.5666151
67,0.22644939
68,0.5429763
69,0.2726386
70,0.19132899
71,0.060600597
72,0.09892604
73,0.21972083
74,0.048763704
75,0.06862944
76,0.16160062
77,0.08570536
78,0.05275258
79,0.07529821
80,0.051061455
81,0.04398931
82,0.08120963
83,0.30662137
84,0.4629496
85,0.47243416
86,0.30739287
87,0.13622215
88,0.16708863
89,0.1318776
90,0.1385702
91,0.30632186
92,0.44509587
93,0.6183769
94,0.29678422
95,0.26685452
96,0.26021096
97,0.07780787
98,0.07744252
99,0.11709272
100,0.064723656
101,0.48961338
102,0.48103204
103,0.6535583
104,0.3067847
105,0.60248333
106,0.44782037
107,0.2585172
108,0.27470204
109,0.19347051
110,0.07167631
111,0.069440186
112,0.25724605
113,0.052046668
114,0.20982933
115,0.06513692
116,0.2993318
117,0.177056
118,0.0642458
119,0.26120606
120,0.21693616
121,0.18108277
122,0.17999575
123,0.11607911
124,0.29098284
125,0.18693858
126,0.11416996
127,0.14025
128,0.09967769
129,0.14151499
130,0.14170657
131,0.54107565
132,0.08233413
133,0.20866656
134,0.558717
135,0.16915953
136,0.13505031
137,0.063906536
138,0.43982065
139,0.12335605
140,0.41556987
141,0.55999583
142,0.22347765
143,0.25889137
144,0.09621363
145,0.082212545
146,0.21660931
147,0.32684377
148,0.19846149
149,0.073813364
150,0.14750919
151,0.057585854
152,0.24224167
153,0.120480016
154,0.09491444
155,0.04536071
156,0.118521035
157,0.104007125
158,0.22491995
159,0.14239265
160,0.22252119
161,0.6022258
162,0.28379095
163,0.22826402
164,0.085183
165,0.20177151
166,0.06814438
167,0.15254104
168,0.111358464
169,0.061461877
170,0.1919372
171,0.13961442
172,0.11335207
173,0.23990026
174,0.30672446
175,0.12682366
176,0.1450483
177,0.0639159
178,0.17023712
179,0.17716286
180,0.15333582
181,0.044394456
182,0.21455377
183,0.26081955
184,0.16346914
185,0.26029685
186,0.2071502
187,0.09258663
188,0.1147993
189,0.14417273
190,0.2206551
191,0.08832885
192,0.28409818
193,0.30575624
194,0.13537298
195,0.1403397
196,0.08018297
197,0.0959171
198,0.073874205
199,0.16296837
200,0.14522152
201,0.058766667
202,0.17690602
203,0.17283946
204,0.18444784
