8,302,371,172,296,230,10,32,27,1,0,1,48,0,1,0,2,196,2072,2173,2352,207,558,0,0,0,6,1,0,0,0,2,2,2,0,1,1,379,0,105,0,0,0,0,0,0,1,1,1,1,1,1,416,0,0,104,0,1,0,0,3,1113,1,8,0,1387,234,42,411,14,113,30,35,171,517,2,0,2,0,1,366,0,1,0,0,106,1,0,0,0,0,1,308,1,0,1,0,1,0,0,51,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,link114
2,55,569,61,260,10,91,272,10,0,0,1,48,1,0,0,3,0,1,0,1,3,104,0,59,1572,2333,2286,1219,0,0,1,2,4,1,0,1,1,0,0,105,0,394,1,1,0,0,1,1,1,1,1,1,1,1,0,104,0,370,0,2,1091,319,210,25,38,795,316,2,3,273,239,14,1,229,77,440,0,2,0,3,0,174,253,0,0,105,0,0,0,0,0,1,0,1,0,1,0,163,0,51,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,link114
6,187,461,100,187,64,39,35,7,1,1,0,254,0,0,0,3,0,2,33,2106,2323,2175,519,0,0,6,28,383,0,1,2,2,3,0,0,1,1,1,0,105,0,49,346,0,0,1,0,1,1,1,1,1,0,104,0,1,0,370,0,6,1387,1,49,36,856,256,24,2,1,254,723,51,229,1,14,1,4,1,181,1,0,427,0,107,0,1,0,0,0,0,1,1,1,0,1,0,1,163,51,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,link114
13,610,166,139,317,59,56,4,3,74,171,1,1,0,0,0,0,0,0,3,57,0,346,2350,2328,1971,6,0,0,0,0,2,4,0,0,1,1,0,393,228,0,163,1,0,0,1,111,62,1,1,1,169,1,0,1,1,1,167,0,0,115,702,1076,803,2,6,129,10,66,29,115,181,516,1,218,1,2,32,1,202,0,3,0,24,142,173,102,2,64,2,106,1,0,61,16,1,111,1,56,0,0,36,14,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,link114
2,274,192,402,73,163,114,43,59,2,1,0,0,0,0,254,31,1089,2366,2361,1208,0,0,0,0,103,0,0,7,408,0,1,1,2,4,0,0,1,1,0,0,1,105,0,394,0,1,0,1,1,1,1,1,1,1,0,0,104,0,370,2,1391,1,8,1,1110,245,15,182,2,33,30,511,3,24,516,2,0,0,1,0,0,0,1,426,0,0,105,0,0,0,1,0,1,0,1,0,1,0,1,163,0,51,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,link114
2,272,180,415,99,273,37,47,62,3,2,0,0,2,255,3,82,1581,2371,2362,658,0,0,0,104,0,0,0,7,408,1,0,1,4,3,0,1,1,1,0,1,0,105,0,394,0,0,1,0,1,1,1,1,1,0,0,105,0,0,370,2,1391,1,19,1110,3,2,24,2,14,6,509,32,230,29,0,2,516,0,181,1,3,0,2,426,0,105,0,0,0,0,0,1,1,1,0,1,0,1,0,163,51,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,link114
147,135,564,63,116,113,131,48,56,9,2,0,0,0,261,3,2,3,1242,2370,2371,1068,0,0,103,0,0,0,7,408,0,0,0,4,2,1,0,1,1,0,0,105,0,394,0,0,1,0,1,1,1,1,1,1,1,1,104,0,0,370,92,1312,1110,8,32,181,1,3,2,6,1,532,0,516,0,2,0,3,0,124,105,0,14,1,455,1,105,2,0,2,1,1,0,1,0,1,0,0,91,73,1,51,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,link114
11,271,34,558,76,172,98,45,54,10,2,1,1,0,254,5,930,2364,2364,1393,0,0,0,0,103,0,0,0,7,408,0,0,1,2,4,0,0,1,1,1,1,105,0,0,394,0,1,0,1,1,1,1,1,1,0,0,0,104,0,370,3,1390,1,153,974,2,2,6,230,3,24,1,1026,0,30,0,181,0,14,1,1,32,1,3,426,1,1,107,1,0,0,0,1,1,1,0,1,0,0,163,0,0,51,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,link114
1,274,174,423,67,189,216,44,59,1,1,1,0,0,48,0,1,0,21,1870,2359,2369,435,0,502,0,0,0,7,1,0,1,0,2,4,0,0,1,1,1,3,486,0,0,0,0,1,0,1,0,1,1,1,1,416,0,0,104,0,0,2,1392,1,8,1,6,1,1,231,1518,10,104,2,3,24,32,14,1,3,181,0,30,818,63,1,1,2,106,0,0,0,1,0,1,308,1,0,1,0,0,1,51,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,link114
1,8,608,64,191,99,50,50,6,2,0,0,0,254,0,0,0,0,0,2,58,3,585,2283,2017,2192,26,8,26,384,0,0,2,4,1,0,1,1,1,0,105,0,0,394,0,0,0,1,1,1,1,1,1,1,0,1,104,0,370,0,0,63,1331,1,10,1110,10,198,33,24,181,251,775,1,2,0,3,6,1,32,1,3,1,440,0,29,105,2,0,2,0,0,1,0,1,0,1,0,163,1,0,51,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,link114
